alpha,method,dataset,stream_size,mean,std
-0.5,Auxo,WiKiTalk,8000000,1666.3497920873335,0.5940275592638995
-0.5,Auxo,WiKiTalk,16000000,3405.874007935662,0.2731741365833254
-0.5,Auxo,WiKiTalk,25000000,5384.6990959833365,0.3981130792501931
-0.5,Auxo,StackOverflow,2000000,477.5485947414535,0.0162555670238083
-0.5,Auxo,StackOverflow,8000000,1913.9082734204317,0.037979660707684
-0.5,Auxo,StackOverflow,16000000,3834.713679514021,0.0094732811002523
-0.5,Auxo,StackOverflow,63500000,14171.145288321875,0.1820407092348561
-0.5,HourglassSketch,Lkml,20000,0.68595894024137,0.2017099957014052
-0.5,HourglassSketch,Lkml,40000,2.1144918307618927,2.089200383252346
-0.5,HourglassSketch,Lkml,80000,2.861837635386648,1.3947369362721267
-0.5,HourglassSketch,Lkml,200000,9.019890902263809,2.6076494657070595
-0.5,HourglassSketch,Lkml,400000,6.234746130011049,0.1522220230515862
-0.5,HourglassSketch,Lkml,800000,16.073806290690108,0.3085529781054639
-0.5,HourglassSketch,CAIDA2018,2000000,287.87829362453476,53.05776947868125
-0.5,HourglassSketch,CAIDA2018,8000000,213.35694542637137,2.681353162527642
-0.5,HourglassSketch,CAIDA2018,16000000,751.5037482111286,5.9227768821342375
-0.5,HourglassSketch,CAIDA2018,27100000,1916.0935516198408,20.87168356434749
-0.5,HourglassSketch,WiKiTalk,2000000,93.40948749712992,0.5615758561523325
-0.5,HourglassSketch,WiKiTalk,8000000,854.7895125109666,5.241052947884248
-0.5,HourglassSketch,WiKiTalk,16000000,2755.076764759223,19.702110067815045
-0.5,HourglassSketch,WiKiTalk,25000000,4805.463651003765,32.11164620439103
-0.5,HourglassSketch,StackOverflow,2000000,88.32506484610589,0.1545080082445663
-0.5,HourglassSketch,StackOverflow,8000000,709.4865329608808,1.0254799380182664
-0.5,HourglassSketch,StackOverflow,16000000,1969.467130647586,1.5061957967582462
-0.5,HourglassSketch,StackOverflow,63500000,7400.285582965109,4.777694637400993
-0.5,Mayfly,Lkml,20000,18.05871546428329,8.800447886012874
-0.5,Mayfly,Lkml,40000,24.320904359715108,11.98478968192842
-0.5,Mayfly,Lkml,80000,50.47102182449411,28.94846752047108
-0.5,Mayfly,Lkml,200000,57.14133349923306,32.047127375966234
-0.5,Mayfly,Lkml,400000,94.08616767527228,54.659699979048135
-0.5,Mayfly,Lkml,800000,176.50877302106113,106.00118836641596
-0.5,Mayfly,CAIDA2018,2000000,128.28877569681708,59.67024383404551
-0.5,Mayfly,CAIDA2018,8000000,328.81446278117056,118.39266415327796
-0.5,Mayfly,CAIDA2018,16000000,535.6139890963757,164.9021489723443
-0.5,Mayfly,CAIDA2018,27100000,768.9307476855505,175.63775782017152
-0.5,Mayfly,WiKiTalk,2000000,311.9329278154843,177.68261089384
-0.5,Mayfly,WiKiTalk,8000000,570.7575109318981,303.67591242747824
-0.5,Mayfly,WiKiTalk,16000000,813.3285036859521,366.7373631510805
-0.5,Mayfly,WiKiTalk,25000000,1028.477875828387,393.5582722470838
-0.5,Mayfly,StackOverflow,2000000,56.19432221687356,10.05180253164694
-0.5,Mayfly,StackOverflow,8000000,124.40564956308104,28.64591837852107
-0.5,Mayfly,StackOverflow,16000000,230.20721706733593,61.46055292623023
-0.5,Mayfly,StackOverflow,63500000,904.0780524705484,254.5675371723967
0.5,Crane,Lkml,20000,0.703095830692178,0.1591373062994227
0.5,Crane,Lkml,40000,0.6866725947632271,0.186383971269495
0.5,Crane,Lkml,80000,0.7919940827401494,0.1148199546498901
0.5,Crane,Lkml,200000,0.7044478707693402,0.115113001486299
0.5,Crane,Lkml,400000,0.6892214319899249,0.060321669473631
